"replicate","mle_mu","mle_xi","mle_tau","postmed_mu","postmed_xi","postmed_tau","true_mu","true_xi","true_tau","diff_postmed_mle_mu","diff_postmed_mle_xi","diff_postmed_mle_tau","diff_postmed_true_mu","diff_postmed_true_xi","diff_postmed_true_tau","edist_postmed_mle","edist_postmed_true"
50,10.5357780255175,0.233308710260943,2.17348167358245,10.5585738125999,0.23586576396842,2.30920226108299,10,0.2,2,0.0227957870824369,0.00255705370747705,0.135720587500538,0.558573812599899,0.0358657639684202,0.30920226108299,0.137645429651194,0.639450619990519
51,10.326874089962,0.162053493458441,2.07860089806219,10.3558870928963,0.161610040663085,2.18823012951452,10,0.2,2,0.0290130029342741,-0.000443452795355903,0.109629231452333,0.355887092896289,-0.0383899593369153,0.188230129514523,0.113404229984931,0.40442551047766
52,9.87171557250169,-0.121586878103155,1.81432871016359,9.86288718004467,-0.122900044646287,1.87017964006217,10,0.2,2,-0.00882839245701561,-0.00131316654313221,0.0558509298985763,-0.137112819955325,-0.322900044646287,-0.12982035993783,0.0565596259736641,0.374055731252795
53,10.6524505690461,0.146886771245139,2.04790288729893,10.6506245618468,0.138069986684685,2.12170499670727,10,0.2,2,-0.00182600719932324,-0.00881678456045398,0.073802109408335,0.650624561846808,-0.0619300133153146,0.121704996707267,0.0743493197372867,0.664800536440143
54,9.47881188131643,0.526171797022183,1.41960420867121,9.53505367845268,0.500712865423097,1.5192875762855,10,0.2,2,0.0562417971362521,-0.025458931599086,0.0996833676142861,-0.464946321547322,0.300712865423097,-0.480712423714504,0.11725216723885,0.733271943868594
55,10.0017325876371,0.105802089199328,2.10644027291472,10.0244964886694,0.0966028578531082,2.20590304414766,10,0.2,2,0.0227639010323113,-0.00919923134622026,0.099462771232937,0.0244964886694206,-0.103397142146892,0.205903044147659,0.102448347516715,0.231704791816113
56,10.3472314173061,0.0243548000579654,1.98908647079485,10.3365387329353,0.0292101796104259,2.08205541358568,10,0.2,2,-0.0106926843708823,0.00485537955246046,0.0929689427908325,0.336538732935253,-0.170789820389574,0.0820554135856839,0.0937076973001623,0.386213117867695
57,9.72945380665189,0.257607425812979,1.92482923761702,9.71636097239732,0.261539443608031,1.99325627754799,10,0.2,2,-0.0130928342545698,0.00393201779505248,0.0684270399309714,-0.283639027602678,0.0615394436080313,-0.00674372245200905,0.0697792438084063,0.290316515016781
58,9.65336049360168,-0.0519845962288889,1.55916930948582,9.65551711458776,-0.0598497217813515,1.61816442726527,10,0.2,2,0.00215662098608327,-0.00786512555246258,0.0589951177794477,-0.344482885412241,-0.259849721781352,-0.381835572734731,0.0595561511167782,0.5761846412891
59,10.0097562962403,0.168923072678851,1.82188260186971,10.0145624807109,0.16858025751401,1.90478124794393,10,0.2,2,0.00480618447064174,-0.000342815164841109,0.0828986460742214,0.0145624807109392,-0.0314197424859897,-0.0952187520560708,0.0830385600329275,0.101320663269927
